matchYear,matchID,leftTeam,leftScore,rightTeam,rightScore,refName,leftPenalties,rightPenalties
2011,869,Hurricanes,28,Reds,26,Keith Brown,10,10
2011,870,NSW Waratahs,28,Rebels,9,Jonathan Kaplan,7,10
2011,871,Force,30,Crusaders,42,Vinny Munro,9,10
2011,873,Bulls,43,Chiefs,27,Craig Joubert,12,11
2011,874,Stormers,32,Sharks,12,Jaco Peyper,16,13
2011,875,Hurricanes,11,Blues,17,Jonathan Kaplan,6,10
2011,876,Rebels,18,Reds,33,Bryce Lawrence,9,14
2011,877,Lions,19,Cheetahs,53,Craig Joubert,13,8
2011,878,Chiefs,20,Highlanders,7,Garratt Williamson,10,10
2011,879,NSW Waratahs,20,Force,15,Stuart Dickinson,9,9
2011,880,Stormers,14,Crusaders,20,Chris Pollock,5,13
2011,881,Sharks,34,Brumbies,16,Mark Lawrence,9,9
2011,882,Highlanders,13,Hurricanes,6,Vinny Munro,11,9
2011,883,Reds,37,Blues,31,Jonathan Kaplan,7,8
2011,884,Chiefs,30,Stormers,23,Stuart Dickinson,12,11
2011,885,Brumbies,20,Lions,29,Nathan Pearce,10,11
2011,886,Bulls,47,Rebels,10,Chris Pollock,10,12
2011,887,Cheetahs,33,Crusaders,20,Bryce Lawrence,12,8
2011,888,Blues,26,Stormers,28,Keith Brown,10,10
2011,889,Crusaders,25,Chiefs,19,Stuart Dickinson,14,11
2011,890,NSW Waratahs,29,Lions,12,Marius Jonker,9,11
2011,891,Force,13,Brumbies,13,Ian Smith,11,16
2011,925,Cheetahs,41,Rebels,21,Pro Legoete,7,11
2011,892,Sharks,23,Bulls,32,Bryce Lawrence,11,18
2011,893,Hurricanes,34,Force,28,Glen Jackson,6,6
2011,894,Highlanders,22,Lions,26,Jonathon White,9,14
2011,895,Brumbies,3,Stormers,16,Marius Jonker,9,9
2011,896,Sharks,26,NSW Waratahs,21,Jonathan Kaplan,11,13
2011,897,Bulls,32,Cheetahs,21,Mark Lawrence,14,10
2011,898,Reds,17,Crusaders,16,Stuart Dickinson,5,11
2011,899,Highlanders,14,Force,21,Jonathon White,9,9
2011,900,Rebels,3,Stormers,40,Chris Pollock,12,5
2011,901,Bulls,23,NSW Waratahs,17,Craig Joubert,11,10
2011,902,Hurricanes,38,Lions,27,Keith Brown,6,9
2011,903,Blues,11,Chiefs,16,Bryce Lawrence,8,9
2011,904,Reds,14,Brumbies,22,Garratt Williamson,9,12
2011,905,Cheetahs,18,Sharks,23,Mark Lawrence,8,11
2011,906,Chiefs,18,Hurricanes,18,Vinny Munro,6,5
2011,907,Brumbies,32,Rebels,17,Glen Jackson,4,12
2011,908,Crusaders,23,Blues,16,Craig Joubert,7,7
2011,909,NSW Waratahs,33,Highlanders,7,Chris Pollock,10,4
2011,910,Force,21,Reds,24,Stuart Dickinson,6,8
2011,911,Lions,30,Sharks,30,Marius Jonker,10,8
2011,912,Stormers,16,Bulls,19,Jonathan Kaplan,8,17
2011,913,Blues,33,Highlanders,16,Bryce Lawrence,7,10
2011,914,Rebels,24,Force,27,Garratt Williamson,12,10
2011,915,Chiefs,11,Reds,19,Keith Brown,9,8
2011,916,Crusaders,16,Hurricanes,9,Chris Pollock,11,7
2011,917,NSW Waratahs,41,Brumbies,7,Craig Joubert,3,6
2011,918,Bulls,23,Sharks,26,Jonathan Kaplan,9,10
2011,919,Cheetahs,34,Stormers,44,Marius Jonker,9,8
2011,920,Blues,26,NSW Waratahs,13,Chris Pollock,6,8
2011,921,Crusaders,36,Sharks,8,Bryce Lawrence,6,10
2011,922,Reds,30,Blues,13,Jonathan Kaplan,11,10
